cartridge,dependencies
bc_product,app:bc_application:bc_catalog:bc_foundation:bc_image:bc_mail:bc_mvc:bc_organization:bc_pmc:bc_pricing:bc_repository:bc_search:bc_user:businessobject:cache:component:configuration:core:isml:jmx:orm:pf_extension:pf_objectgraph:pf_property:pipeline:xcs
bc_promotion,app:bc_application:bc_foundation:bc_organization:bc_repository:bc_user:businessobject:core:pf_extension:pf_property
bc_ruleengine,bc_repository:businessobject:cache:core:orm:pf_cartridge:pf_objectgraph
bc_shipping,app:bc_address:bc_application:bc_auditing:bc_foundation:bc_image:bc_mvc:bc_region:bc_repository:bc_ruleengine:bc_shipping_data:bc_spreadsheet:bts:businessobject:cache:component:configuration:core:isml:jmx:orm:pf_cartridge:pf_objectgraph:pf_objectgraph_guice:pf_property:xcs
bc_basket,app:bc_address:bc_application:bc_customer:bc_foundation:bc_organization_hierarchies:bc_pricing:bc_product:bc_promotion:bc_region:bc_repository:bc_shipping:bc_shipping_data:bc_store:bc_user:bts:businessobject:configuration:core:orm:pf_extension:pf_objectgraph_guice:pf_property:pipeline:xcs
bc_customer_segment,app:bc_address:bc_application:bc_customer:bc_customer_orm:bc_foundation:bc_repository:bc_service:businessobject:cache:configuration:core:jmx:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property
bc_gdpr,bc_address:bc_application:bc_customer:bc_foundation:bc_handler_chain:bc_organization:bc_repository:bc_user:bts:businessobject:cache:configuration:core:orm:pf_property:pipeline
bc_giftpackaging,app:bc_foundation:bc_image:bc_mvc:bc_product:bc_repository:bts:businessobject:configuration:core:xcs
bc_taxation,bc_address:bc_basket:bc_foundation:bc_product:bc_service:businessobject:core
bc_product_pricing,app:bc_address:bc_application:bc_basket:bc_customer:bc_customer_orm:bc_customer_segment:bc_foundation:bc_image:bc_pricing:bc_product:bc_repository:bc_search:bc_service:bc_taxation:bc_user:businessobject:cache:component:configuration:core:isml:orm:pf_objectgraph:pf_objectgraph_guice:pf_property:xcs
bc_warranty,app:bc_address:bc_application:bc_basket:bc_customer:bc_foundation:bc_image:bc_mvc:bc_pricing:bc_product:bc_product_pricing:bc_repository:bc_spreadsheet:bc_user:bts:businessobject:configuration:core:isml:jmx:pf_extension:pf_property:xcs
bc_order,bc_address:bc_application:bc_basket:bc_customer:bc_foundation:bc_handler_chain:bc_organization_hierarchies:bc_pricing:bc_product:bc_promotion:bc_region:bc_repository:bc_spreadsheet:bc_store:bc_user:bc_warranty:bts:businessobject:core:jmx:orm:pf_property:pipeline:xcs
bc_requisition,ac_oci:app:bc_approval:bc_foundation:bc_image:bc_mail:bc_mvc:bc_organization:bc_pricing:bts:cache:configuration:core:isml:orm:xcs
bc_payment,app:bc_address:bc_application:bc_basket:bc_customer:bc_handler_chain:bc_order:bc_organization:bc_pricing:bc_repository:bc_requisition:bc_service:bc_spreadsheet:bc_user:bts:businessobject:core:isml:jmx:orm:pf_property:pipeline
bc_preview,app:businessobject:configuration:core:orm:pf_property
bc_profanitycheck,bc_foundation:bc_mvc:bc_organization:cache:core:jmx:orm:pf_cartridge:runtime
